ID,DICT,MOT,"MOT_TRI,C,60",CD_MOT,TYPE,"REF_LEMME,C,90",id_1,pos_1,id_2,pos_2,id_3,pos_3,id_4,pos_4,id_5,pos_5,id_6,pos_6,id_7,pos_7,id_8,pos_8,id_9,pos_9,id_10,pos_10
1,DACT,ⲡ- (def. article),86 ⲡ- (def. article),1,1,111,1,11,,,,,,,,,,,,,,,,,,
2,DACT,ⲙ,ⲙ,2,2,4 8     43 8     36 8    245 8     62 8      111    835 8    773 5   5250 1,4,8,43,8,36,8,245,8,62,8,1,11,835,8,773,5,5250,1,,
3,DACT,ⲡⲁⲣⲟⲓⲙⲓⲁ (ⲡⲁⲣϩⲟⲓⲙⲓⲁ),ⲡⲁⲣⲟⲓⲙⲓⲁ (ⲡⲁⲣϩⲟⲓⲙⲓⲁ),3,1,331,3,31,,,,,,,,,,,,,,,,,,
4,DACT,"ⲛ-, ⲙⲙⲁ⸗ (relationship)",ⲛ - 6 ⲙⲙⲁ⸗ (relationship),4,1,4 8,4,8,,,,,,,,,,,,,,,,,,
5,DACT,ⲛ,ⲛ,5,2,36 8    245 8      4 8     43 8     62 8      111     1011    835 8    773 5   685212,36,8,245,8,4,8,43,8,62,8,1,11,10,11,835,8,773,5,6852,12
6,DACT,ⲥⲟⲗⲟⲙⲱⲛ,ⲥⲟⲗⲟⲙⲱⲛ,6,1,632,6,32,,,,,,,,,,,,,,,,,,
7,DACT,ⲡ,ⲡ,7,2,111     1011,1,11,10,11,,,,,,,,,,,,,,,,
8,DACT,ϣⲏⲣⲉ,ϣⲣ ⲏⲉ,8,2,1426 1,1426,1,,,,,,,,,,,,,,,,,,
9,DACT,ⲇⲁⲩⲉⲓⲇ,ⲇⲁⲩⲉⲓⲇ,9,1,932,9,32,,,,,,,,,,,,,,,,,,
10,DACT,ⲡ- (preceding rel.),88 ⲡ- (preceding rel.),10,1,1011,10,11,,,,,,,,,,,,,,,,,,
11,DACT,ⲁ- (Aff. Perfect),33 ⲁ- (affirm. perfect),11,1,1113,11,13,,,,,,,,,,,,,,,,,,
12,DACT,ⲉⲧⲁϥ,ⲉⲧϥ  ⲁ,12,2,1113,11,13,,,,,,,,,,,,,,,,,,
13,DACT,"ⲉⲓⲣⲉ] ⲣ- ""do, be"" (& compds)","ⲓⲣ  ⲉ1  2 ""do"" (compounds)",13,1,13 5,13,5,,,,,,,,,,,,,,,,,,
14,DACT,ⲣ,ⲣ,14,2,13 5     30 5    712 5     36 8    245 8    835 8      111,13,5,30,5,712,5,36,8,245,8,835,8,1,11,,,,,,
15,DACT,ⲣⲣⲟ,ⲣⲣ  ⲟ,15,2,1188 1,1188,1,,,,,,,,,,,,,,,,,,
16,DACT,"ⳉⲛ-, ⲛⳉⲏⲧ⸗",ⳉⲛ  3 ⲛⳉⲏⲧ⸗,16,1,16 8,16,8,,,,,,,,,,,,,,,,,,
17,DACT,ⳉⲙ,ⳉⲙ,17,2,16 8    512 8,16,8,512,8,,,,,,,,,,,,,,,,
18,DACT,ⲓⲥⲣⲁⲏⲗ,ⲓⲥⲣⲁⲏⲗ,18,1,1833,18,33,,,,,,,,,,,,,,,,,,
19,DACT,ⲓⲏⲗ,ⲓⲏⲗ,19,2,1833,18,33,,,,,,,,,,,,,,,,,,
20,DACT,ⲁ- (with infinitive),"ⲁ -, ⲁⲣⲁ⸗ 2 (with infinitive)",20,1,20 8,20,8,,,,,,,,,,,,,,,,,,
21,DACT,ⲁ,ⲁ,21,2,23 8     20 8     1113     5713   598113    53813   425013   5213 4    583 1,23,8,20,8,11,13,57,13,5981,13,538,13,4250,13,5213,4,583,1,,
22,DACT,ⲙⲙⲉ,ⲙⲙ  ⲉ,22,2,1131 5,1131,5,,,,,,,,,,,,,,,,,,
