ID,DICT,MOT,"MOT_TRI,C,60",CD_MOT,TYPE,"REF_LEMME,C,90",id_1,pos_1,id_2,pos_2,id_3,pos_3,id_4,pos_4,id_5,pos_5,id_6,pos_6,id_7,pos_7,id_8,pos_8,id_9,pos_9,id_10,pos_10
7241,DBOT,ⲛ- (attributive),ⲛ - 2 (attributive),1,1,1 8,1,8,,,,,,,,,,,,,,,,,,
7242,DBOT,ⲛ,ⲛ,2,2,1 8      3 8      4 8      5 8   1733 8      711    161 8    39712   1264 1    34913,1,8,3,8,4,8,5,8,1733,8,7,11,161,8,397,12,1264,1,349,13
7243,DBOT,ⲛ- (identity),ⲛ - 4 (identity),3,1,3 8,3,8,,,,,,,,,,,,,,,,,,
7244,DBOT,"ⲛ-, ⲙⲙⲟ⸗ (relationship)","ⲛ -, ⲙⲙⲟ⸗ (relationship)",4,1,4 8,4,8,,,,,,,,,,,,,,,,,,
7245,DBOT,"ⲛ-, ⲙⲙⲟ⸗ (object)","ⲛ -, ⲙⲙⲟ⸗ (object)",5,1,5 8,5,8,,,,,,,,,,,,,,,,,,
7246,DBOT,ⲡ- (def. art.),86  ⲡ- (def. art.),6,1,611,6,11,,,,,,,,,,,,,,,,,,
7247,DBOT,ⲡ- (preceding rel.),88  ⲡ- (preceding rel.),7,1,711,7,11,,,,,,,,,,,,,,,,,,
7248,DBOT,ⲙ,ⲙ,8,2,4 8      5 8      1 8      3 8      611    39712    161 8   1733 8   3232 1    34913,4,8,5,8,1,8,3,8,6,11,397,12,161,8,1733,8,3232,1,349,13
7249,DBOT,ⲧ,ⲧ,9,2,611      711     1613  16250 1,6,11,7,11,16,13,16250,1,,,,,,,,,,,,
7250,DBOT,ⲡ,ⲡ,10,2,611      711   8652 1   8652 4  1539716      4 8      5 8,6,11,7,11,8652,1,8652,4,15397,16,4,8,5,8,,,,,,
7251,DBOT,ⲡ(ⲉ)⸗ (poss. art.),90  ⲡ(ⲉ)⸗ (poss. art.),11,1,1111,11,11,,,,,,,,,,,,,,,,,,
7252,DBOT,ⲡⲁ,ⲡ ⲁ,12,2,1111     1311   238732  1539816,11,11,13,11,2387,32,15398,16,,,,,,,,,,,,
7253,DBOT,"ⲫⲁ-, ⲫⲱ⸗ (poss. pronoun)",89  ⲫⲁ-  ⲡⲱ⸗,13,1,1311,13,11,,,,,,,,,,,,,,,,,,
7254,DBOT,ⲧⲁ,ⲧ ⲁ,14,2,1111     1311   440813    33613    27941,11,11,13,11,4408,13,336,13,279,41,,,,,,,,,,
7255,DBOT,ⲛⲁ,ⲛ ⲁ,15,2,1111  1226213    335 5     1311    16413    27413  1218613    39112   2302 5  1534416,11,11,12262,13,335,5,13,11,164,13,274,13,12186,13,391,12,2302,5,15344,16
7256,DBOT,ⲉⲧ- (rectus),17  ⲉⲧ- (rectus),16,1,1613,16,13,,,,,,,,,,,,,,,,,,
7257,DBOT,ⲉⲧ,ⲉⲧ,17,2,1613     1812,16,13,18,12,,,,,,,,,,,,,,,,
7258,DBOT,"ⲉⲧⲉ-, ⲉⲧ- (rel. converter)","ⲉⲧ  ⲉ-, ⲉⲧ- (rel. converter)",18,1,1812,18,12,,,,,,,,,,,,,,,,,,
7259,DBOT,ⲉⲧⲉ,ⲉⲧ  ⲉ,19,2,1812    23313  1218413    15313    33613    270 8  14451 8,18,12,233,13,12184,13,153,13,336,13,270,8,14451,8,,,,,,
7260,DBOT,ⲡⲟⲩ,ⲡ ⲩ1,20,2,1111     4013,11,11,40,13,,,,,,,,,,,,,,,,
7261,DBOT,ⲧⲟⲩ,ⲧ ⲩ1,21,2,1111   440813    33613    27941,11,11,4408,13,336,13,279,41,,,,,,,,,,,,
7262,DBOT,ⲛⲟⲩ,ⲛ ⲩ1,22,2,1111     1311    27413,11,11,13,11,274,13,,,,,,,,,,,,,,
7263,DBOT,ⲡⲱⲥ,ⲡⲱⲥ,23,1,2339,23,39,,,,,,,,,,,,,,,,,,
7264,DBOT,ⲑⲱⲕ,ⲑⲕ ⲱ,24,2,1311     94 5   3679 5   4116 1   4117 1,13,11,94,5,3679,5,4116,1,4117,1,,,,,,,,,,
7265,DBOT,ⲡⲉ (subject / copular pronoun),84  ⲡⲉ (subject or copular pronoun),25,1,2511,25,11,,,,,,,,,,,,,,,,,,
7266,DBOT,ⲡⲉ,ⲡ ⲉ,26,2,2511  1031711     27 6  11078 6     1111      711      611     4013  1540516,25,11,10317,11,27,6,11078,6,11,11,7,11,6,11,40,13,15405,16,,
7267,DBOT,ⲡⲉ (background marker),ⲡ ⲉ 1 (textual marker),27,1,27 6,27,6,,,,,,,,,,,,,,,,,,
7268,DBOT,ⲧⲉ,ⲧ ⲉ,28,2,2511  1031711     1111      611     3213     6336   440813    33613    270 8    204 5,25,11,10317,11,11,11,6,11,32,13,63,36,4408,13,336,13,270,8,204,5
7269,DBOT,ⲛⲉ,ⲛ ⲉ,29,2,2511  1031711     3012   440712     1111    161 8    39712      611     5211    16413,25,11,10317,11,30,12,4407,12,11,11,161,8,397,12,6,11,52,11,164,13
7270,DBOT,ⲛⲉ- (preterite converter),ⲛ ⲉ- 1 (pret. converter),30,1,3012,30,12,,,,,,,,,,,,,,,,,,
7271,DBOT,ϯ,ⲧ ⲓ,31,2,5211  1057311      611     3213    204 5     33 5   2758 5  1159416  1491616  1491516,52,11,10573,11,6,11,32,13,204,5,33,5,2758,5,11594,16,14916,16,14915,16
7272,DBOT,First Present,111 first present,32,1,3213,32,13,,,,,,,,,,,,,,,,,,
7273,DBOT,ϯ] ϯ- (compds & phraseology),ⲧ ⲓ 2 `give'    (compounds),33,1,33 5,33,5,,,,,,,,,,,,,,,,,,
7274,DBOT,ⲕ,ⲕ,34,2,3213  1502713   1085 1   1085 4  1493840   992231  1491516  1529216,32,13,15027,13,1085,1,1085,4,14938,40,9922,31,14915,16,15292,16,,,,
7275,DBOT,ϥ,ϥ,35,2,3213  1502713   6625 1   6625 4    34913  1541316,32,13,15027,13,6625,1,6625,4,349,13,15413,16,,,,,,,,
7276,DBOT,ⲥ,ⲥ,36,2,3213  1502713   1491 1   8510 1   8510 4  1626716,32,13,15027,13,1491,1,8510,1,8510,4,16267,16,,,,,,,,
7277,DBOT,ⲥⲉ,ⲥ ⲉ,37,2,3213    33613   2950 5   440614   9782 1   9782 4  1392140,32,13,336,13,2950,5,4406,14,9782,1,9782,4,13921,40,,,,,,
7278,DBOT,ⲉ- (circumst. converter),ⲉ - (circumst. converter),38,1,3812,38,12,,,,,,,,,,,,,,,,,,
7279,DBOT,ⲉ,ⲉ,39,2,306 8    321 8     3812  1599612    34913  1217913    494 1  13770 1     1613  1527016,306,8,321,8,38,12,15996,12,349,13,12179,13,494,1,13770,1,16,13,15270,16
7280,DBOT,ⲙⲡⲉ- Neg. Perfect,36 ⲙⲡⲉ- neg. perfect,40,1,4013,40,13,,,,,,,,,,,,,,,,,,
7281,DBOT,ⲙⲡⲉ,ⲙⲡ  ⲉ,41,2,4013   657414,40,13,6574,14,,,,,,,,,,,,,,,,
7282,DBOT,ⲙⲡⲓ,ⲙⲡ  ⲓ2,42,2,4013,40,13,,,,,,,,,,,,,,,,,,
7283,DBOT,ⲙⲡⲟⲩ,ⲙⲡ  ⲩ1,43,2,4013,40,13,,,,,,,,,,,,,,,,,,
7284,DBOT,ⲙⲡⲁⲧⲉ- Neg. Completive,391 ⲙⲡⲁⲧⲉ- neg. completive,44,1,4413,44,13,,,,,,,,,,,,,,,,,,
7285,DBOT,ⲙⲡⲁⲧⲉ,ⲙⲡⲧ  ⲁⲉ,45,2,4413,44,13,,,,,,,,,,,,,,,,,,
7286,DBOT,ⲙⲡⲁϯ,ⲙⲡⲧ  ⲁⲓ,46,2,4413,44,13,,,,,,,,,,,,,,,,,,
7287,DBOT,ⲙⲡⲁⲧⲟⲩ,ⲙⲡⲧ  ⲁⲩ1,47,2,4413,44,13,,,,,,,,,,,,,,,,,,
7288,DBOT,ⲁⲧ- (+ infinitive),ⲁⲧ  - 1 (+ infinitive),48,1,4812,48,12,,,,,,,,,,,,,,,,,,
7289,DBOT,ⲁⲧ,ⲁⲧ,49,2,4812     5012  1500912   5718 1     1613,48,12,50,12,15009,12,5718,1,16,13,,,,,,,,,,
7290,DBOT,ⲁⲧ- (+ noun),ⲁⲧ  - 2 (+ noun),50,1,5012,50,12,,,,,,,,,,,,,,,,,,
7291,DBOT,ⲙⲟⲩ,ⲙ ⲩ1,51,2,418 5    416 4    552 1  1181140  1484813,418,5,416,4,552,1,11811,40,14848,13,,,,,,,,,,
7292,DBOT,ⲡⲓ- (phoric art.),821 ⲡⲓ2-  (phoric article),52,1,5211,52,11,,,,,,,,,,,,,,,,,,
7293,DBOT,ⲡⲓ,ⲡ ⲓ2,53,2,5211  1057311     4013,52,11,10573,11,40,13,,,,,,,,,,,,,,
7294,DBOT,ⲛⲓ,ⲛ ⲓ2,54,2,5211  1057311    12911,52,11,10573,11,129,11,,,,,,,,,,,,,,
7295,DBOT,ⲕⲟⲥⲙⲟⲥ,ⲕⲟⲥⲙⲟⲥ,55,1,5531,55,31,,,,,,,,,,,,,,,,,,
7296,DBOT,"ⲁⲣⲭⲏ ""beginning, origin""","ⲁⲣⲭⲏ 1 `beginning, origin'",56,1,5631,56,31,,,,,,,,,,,,,,,,,,
7297,DBOT,"ϩⲏ ""fore part, beginning""","ϩ ⲏ 1 `fore part, beginning'",57,1,57 1     57 9     57 4,57,1,57,9,57,4,,,,,,,,,,,,,,
7298,DBOT,ϩⲏ,ϩ ⲏ,58,2,57 1   4221 1    25314,57,1,4221,1,253,14,,,,,,,,,,,,,,
7299,DBOT,ϩⲏⲧϥ,ϩⲧϥ ⲏ,59,2,57 1,57,1,,,,,,,,,,,,,,,,,,
7300,DBOT,ϩⲏⲧⲥ,ϩⲧⲥ ⲏ,60,2,11163 1     57 1,11163,1,57,1,,,,,,,,,,,,,,,,
7301,DBOT,"ϩⲓ-, ϩⲓⲱⲧ⸗",ϩ ⲓ2 2 ϩⲓⲱⲧ⸗,61,1,61 8,61,8,,,,,,,,,,,,,,,,,,
7302,DBOT,ϩⲓ,ϩ ⲓ2,62,2,61 8   1301 5   1357 5   8672 5   6491 8    483 5,61,8,1301,5,1357,5,8672,5,6491,8,483,5,,,,,,,,
7303,DBOT,ⲇⲉ,ⲇⲉ,63,3,6336    33613    270 8     2511,63,36,336,13,270,8,25,11,,,,,,,,,,,,
7304,DBOT,ⲅⲁⲣ,ⲅⲁⲣ,64,1,6436,64,36,,,,,,,,,,,,,,,,,,
7305,DBOT,ⲟⲩⲇⲉ,ⲟⲩⲇⲉ,65,2,62537    627 8,625,37,627,8,,,,,,,,,,,,,,,,
7306,DBOT,"ⲛⲁϣⲉ-, ⲛⲁϣⲱ⸗ ""be many, much""","ⲛϣ ⲁⲉ-, ⲛⲁϣⲱ⸗",66,1,66 5,66,5,,,,,,,,,,,,,,,,,,
7307,DBOT,ⲛⲁϣⲉ,ⲛϣ ⲁⲉ,67,2,66 5,66,5,,,,,,,,,,,,,,,,,,
7308,DBOT,"ϫⲉ (quote, name, content)","ϫ ⲉ 1 (discourse, explic.)",68,1,68 7,68,7,,,,,,,,,,,,,,,,,,
7309,DBOT,ϫⲉ,ϫ ⲉ,69,2,68 7     70 7     71 7  15647 7    792 5    797 5   5011 5   1768 6   2043 6   8947 7,68,7,70,7,71,7,15647,7,792,5,797,5,5011,5,1768,6,2043,6,8947,7
7310,DBOT,"ϫⲉ (cause, reason)",ϫ ⲉ 2 (causal),70,1,70 8     70 7,70,8,70,7,,,,,,,,,,,,,,,,
