COPT_LEMMA,POS 1,POS 2,FORMS,SENSES
,[],[],[],[]
ⲡ- ,['11'],[' (def. article)'],"['ⲛⲙ', '~', 'ⲑ', 'ⲫ', 'ⲛⲛ', 'ⲡⲉ', 'ϯ', 'ⲧ', 'ⲣ', 'ⲡ', 'ⲛ', 'ⲙ']",[]
ⲡⲁⲣⲟⲓⲙⲓⲁ ,['31'],[' (ⲡⲁⲣϩⲟⲓⲙⲓⲁ)'],['ⲡⲁⲣϩⲟⲓⲙⲓⲁ'],[]
"ⲛ-, ⲙⲙⲁ⸗ ",['8'],[' (relationship)'],"['ⲛⲙⲙⲁⲓ', 'ⲛⲙ', 'ⲛⲙⲙⲁⲩ', 'ⲛⲙⲁϥ', 'ⲛⲙⲁⲩ', 'ⲛⲙⲱⲧⲛⲉ', 'ⲛⲙⲁⲥ', 'ⲛⲙⲁⲛ', 'ⲛⲙⲁⲕ', 'ⲛⲙⲁⲓ', 'ⲛⲙⲁⲉⲓ', 'ⲛⲙⲟ', 'ⲙⲙⲟⲟ', 'ⲙⲁⲛ', 'ⲙⲁⲥ', 'ⲙⲁϥ', 'ⲙⲁⲕ', 'ⲙⲁⲓ', 'ⲙⲙⲱ', 'ⲙⲁⲩ', 'ⲙⲙⲁⲉⲓ', 'ⲙⲙⲁⲛ', 'ⲙⲙⲁⲓ', 'ⲙⲙⲟ', 'ⲙⲙⲁⲩ', 'ⲙⲙⲁϥ', 'ⲙⲙⲱⲧⲛⲉ', 'ⲛⲛ', 'ⲙⲙⲁⲥ', 'ⲙⲙⲁⲕ', 'ⲙⲟ', 'ⲙⲁⲉⲓ', 'ⲙⲛ', 'ⲛ', 'ⲙ']",[]
ⲥⲟⲗⲟⲙⲱⲛ,['32'],[],[],[]
ⲇⲁⲩⲉⲓⲇ,['32'],[],['ⲇⲇ'],[]
ⲡ- ,['11'],[' (preceding rel.)'],"['~', 'ⲧ', 'ⲡ', 'ⲛ']",[]
ⲁ- ,['13'],[' (Aff. Perfect)'],"['ϫⲛⲧⲁϥ', 'ϫⲛⲧⲁⲩ', 'ϫⲛⲧⲁⲧⲉⲧⲛ', 'ϫⲛⲧⲁⲥ', 'ϫⲛⲧⲁⲛ', 'ϫⲛⲧⲁⲕ', 'ϫⲛⲧⲁⲓ', 'ϫⲛⲧⲁⲉⲓ', 'ϫⲉⲛⲧⲁ', 'ϫⲛⲧⲁ', 'ⲉⲁⲣ', 'ⲁⲅ', 'ⲉⲛⲧⲁ', 'ⲁⲙ', 'ⲛⲉⲁϥ', 'ⲛⲉⲁⲧⲉⲧⲛ', 'ⲛⲉⲁⲥ', 'ⲛⲉⲁⲛ', 'ⲛⲉⲁⲕ', 'ⲛⲉⲁⲓ', 'ⲛⲉⲁⲉⲓ', 'ⲛⲉⲁⲩ', 'ⲛⲉⲁ', 'ⲛⲁⲣⲉ', 'ⲉⲁⲉⲓ', 'ⲉⲁϥ', 'ⲉⲁⲧⲉⲧⲛ', 'ⲉⲁⲥ', 'ⲉⲁⲛ', 'ⲉⲁⲕ', 'ⲉⲁⲓ', 'ⲉⲛⲧⲁⲩ', 'ⲉⲛⲧⲁϥ', 'ⲛⲁⲣ', 'ⲉⲧⲁⲣ', 'ⲁⲣ', '~ⲧⲁⲉⲓ', 'ⲉⲧⲁⲉⲓ', '~ⲧⲁⲧⲉⲧⲛ', '~ⲧⲁⲛ', '~ⲧⲁ', '~ⲧⲁϥ', '~ⲧⲁⲥ', 'ⲉⲧⲁⲧⲉⲧⲛ', 'ⲉⲧⲁⲛ', 'ⲉⲧⲁⲕ', 'ⲉⲧⲁⲩ', 'ⲉⲧⲁⲓ', '~ⲧⲁⲓ', '~ⲧⲁⲕ', '~ⲧⲁⲩ', 'ⲉⲁ', 'ⲉⲧⲁⲥ', 'ⲉⲧⲁ', 'ⲉⲁⲩ', 'ⲛⲁⲉⲓ', 'ⲛⲁⲓ', 'ⲛⲁⲕ', 'ⲛⲁϥ', 'ⲛⲁⲥ', 'ⲛⲁⲛ', 'ⲛⲁⲧⲉⲧⲛ', 'ⲛⲁⲩ', 'ⲁⲛ', 'ⲁⲥ', 'ⲁϥ', 'ⲁⲕ', 'ⲁⲓ', 'ⲁⲣⲉ', 'ⲁⲧⲉⲧⲛ', 'ⲁⲩ', 'ⲛⲁ', 'ⲁⲉⲓ', 'ⲁⲟⲩ', 'ⲁ', 'ⲉⲧⲁϥ']",[]
ⲉⲓⲣⲉ] ⲣ- ,['5'],[],"['ⲁⲣ', 'ⲉⲣⲓ', 'ⲁⲣⲓ', 'ⲣ']","[' ""do, be""']"
"ⳉⲛ-, ⲛⳉⲏⲧ⸗",['8'],[],"['ⳉⲟⲛ', 'ⲛⳉⲏⲧⲟⲩⲉ', 'ⲛⳉⲏⲧⲛⲉ', 'ⲛⳉⲏⲧⲉ', 'ⲛⳉⲏⲧⲥ', 'ⲛⳉⲏⲧⲕ', 'ⲛⳉⲏⲧ', 'ⲛⳉⲏⲧⲟⲩ', 'ⲛⳉⲏⲧϥ', 'ⳉⲛⲛ', 'ⲛϩⲏⲧ', 'ⳉⲛ', 'ⳉⲙ']",[]
