COPT_LEMMA,POS 1,POS 2,FORMS,SENSES
ⲛ- ,['8'],[' (attributive)'],"['$', 'ⲛⲙ', 'as', 'ⲉⲙ', 'ⲛⲛⲛ', '~', 'ⲟⲛ', 'ⲛⲛ', 'ⲉⲛ', 'ⲙ', 'ⲛ']",[]
ⲛ- ,['8'],[' (identity)'],"['$', 'ⲛⲙ', 'as', 'ⲉⲙ', 'ⲛⲛⲛ', 'ⲟⲛ', 'ⲛⲛ', 'ⲉⲛ', 'ⲙ', 'ⲛ']",[]
"ⲛ-, ⲙⲙⲟ⸗ ",['8'],[' (relationship)'],"['$', 'ⲛⲙ', 'ⲛⲙⲱⲥ', 'ⲛⲙⲱⲛ', 'ⲛⲙⲱⲕ', 'ⲉⲛⲙⲟϥ', 'ⲉⲛⲙⲟⲫ', 'ⲉⲛⲙⲟⲥ', 'ⲉⲛⲙⲟⲛ', 'ⲉⲛⲙⲟⲕ', 'ⲉⲛⲙⲟⲓ', 'ⲙⲙ', 'ⲛⲙⲱⲧⲉⲛ', 'ⲉⲙⲱⲧⲉⲛ', 'ⲉⲙⲙⲱⲧⲉⲛ', 'ⲉⲙⲙⲟⲛ', 'ⲉⲙⲙⲟⲕ', 'ⲉⲙⲙⲟⲓ', 'ⲉⲙⲙⲟ', 'ⲉⲙⲟ', 'ⲙⲱϥ', 'ⲛⲙⲱⲟⲩ', 'ⲛⲙⲱϥ', 'ⲛⲙⲟ', 'ⲙⲙⲱϥ', 'ⲉⲙⲟϥ', 'ⲉⲙⲱⲟⲩ', 'ⲉⲙⲟⲥ', 'ⲉⲙⲟⲛ', 'ⲉⲙⲟⲕ', 'ⲉⲙⲟⲓ', 'as', 'ⲉⲙⲙⲟϥ', 'ⲉⲙⲙⲱⲟⲩ', 'ⲉⲙⲙⲟⲥ', 'ⲛⲙⲟϥ', 'ⲛⲙⲟⲥ', 'ⲛⲙⲟⲛ', 'ⲛⲙⲟⲕ', 'ⲛⲙⲟⲓ', 'ⲙⲟ', 'ⲉⲙ', 'ⲛⲛⲛ', '~', 'ⲟⲛ', 'ⲙⲟϥ', 'ⲙⲟⲥ', 'ⲙⲟⲛ', 'ⲙⲱⲧⲉⲛ', 'ⲙⲟⲕ', 'ⲙⲟⲓ', 'ⲙⲱⲟⲩ', 'ⲛⲛ', 'ⲉⲛ', 'ⲙⲙⲱⲧⲉⲛ', 'ⲙⲙⲟϥ', 'ⲙⲙⲟⲕ', 'ⲙⲙⲟⲛ', 'ⲙⲙⲟⲓ', 'ⲙⲙⲟ', 'ⲟⲩ', 'ⲙⲙⲟⲥ', 'ⲙⲙⲱⲟⲩ', 'ⲡ', 'ⲙ', 'ⲛ']",[]
"ⲛ-, ⲙⲙⲟ⸗ ",['8'],[' (object)'],"['$', 'ⲛⲙ', 'ⲛⲙⲱⲥ', 'ⲛⲙⲱⲛ', 'ⲛⲙⲱⲕ', 'ⲉⲛⲙⲟϥ', 'ⲉⲛⲙⲟⲫ', 'ⲉⲛⲙⲟⲥ', 'ⲉⲛⲙⲟⲛ', 'ⲉⲛⲙⲟⲕ', 'ⲉⲛⲙⲟⲓ', 'ⲙⲙ', 'ⲛⲙⲱⲧⲉⲛ', 'ⲉⲙⲱⲧⲉⲛ', 'ⲉⲙⲙⲱⲧⲉⲛ', 'ⲉⲙⲙⲟⲛ', 'ⲉⲙⲙⲟⲕ', 'ⲉⲙⲙⲟⲓ', 'ⲉⲙⲙⲟ', 'ⲉⲙⲟ', 'ⲙⲱϥ', 'ⲛⲙⲱⲟⲩ', 'ⲛⲙⲱϥ', 'ⲛⲙⲟ', 'ⲙⲙⲱϥ', 'ⲉⲙⲟϥ', 'ⲉⲙⲱⲟⲩ', 'ⲉⲙⲟⲥ', 'ⲉⲙⲟⲛ', 'ⲉⲙⲟⲕ', 'ⲉⲙⲟⲓ', 'as', 'ⲉⲙⲙⲟϥ', 'ⲉⲙⲙⲱⲟⲩ', 'ⲉⲙⲙⲟⲥ', 'ⲛⲙⲟϥ', 'ⲛⲙⲟⲥ', 'ⲛⲙⲟⲛ', 'ⲛⲙⲟⲕ', 'ⲛⲙⲟⲓ', 'ⲙⲟ', 'ⲉⲙ', 'ⲛⲛⲛ', '~', 'ⲟⲛ', 'ⲙⲟϥ', 'ⲙⲟⲥ', 'ⲙⲟⲛ', 'ⲙⲱⲧⲉⲛ', 'ⲙⲟⲕ', 'ⲙⲟⲓ', 'ⲙⲱⲟⲩ', 'ⲛⲛ', 'ⲉⲛ', 'ⲙⲙⲱⲧⲉⲛ', 'ⲙⲙⲟϥ', 'ⲙⲙⲟⲕ', 'ⲙⲙⲟⲛ', 'ⲙⲙⲟⲓ', 'ⲙⲙⲟ', 'ⲟⲩ', 'ⲙⲙⲟⲥ', 'ⲙⲙⲱⲟⲩ', 'ⲡ', 'ⲙ', 'ⲛ']",[]
ⲡ- ,['11'],[' (def. art.)'],"['ⲡϩ', 'ⲡⲫ', '~ⲉⲙ', 'ⲯ', '~ⲉ', '~ⲉⲛ', '~', 'ⲛⲉⲛ', 'ⲫ', 'ⲑ', 'ⲛⲉⲙ', 'ϯ', 'ⲛⲉ', 'ⲧⲉ', 'ⲡⲉ', 'ⲡ', 'ⲧ', 'ⲙ']",[]
ⲡ- ,['11'],[' (preceding rel.)'],"['~', 'ⲡⲉ', 'ⲡ', 'ⲧ', 'ⲛ']",[]
ⲡ,['11'],[' (poss. art.)'],"['ⲛⲉⲫ', '~ⲉⲕ', 'ⲛϥ', 'ⲧⲉⲫ', 'ⲡⲉⲫ', 'ⲃⲉϥ', 'ⲛⲏⲛ', 'ⲯ', 'ⲃⲁ', '~ⲉ', '~ⲉⲛ', '~ⲉϥ', 'ⲛⲉⲃ', 'ⲡⲉⲧⲉⲛⲛ', '~ⲟⲩ', 'ⲧⲛ', '~ⲁ', 'ⲛⲉⲥ', 'ⲧⲉⲥ', 'ⲧⲉⲕ', 'ⲡⲉⲥ', 'ⲡⲉⲕ', 'ⲧϥ', 'ⲧⲥ', 'ⲧⲕ', 'ⲡϥ', 'ⲡⲥ', 'ⲡⲛ', 'ⲡⲕ', 'ⲛⲉⲕ', 'ⲛⲉⲛ', 'ⲛⲉⲧⲉⲛ', 'ⲧⲉⲧⲉⲛ', 'ⲡⲉⲧⲉⲛ', 'ⲛⲉⲩ', 'ⲧⲉⲩ', 'ⲛⲉϥ', 'ⲧⲉϥ', 'ⲡⲉϥ', 'ⲡⲉⲛ', 'ⲧⲉⲛ', 'ⲡⲉⲩ', 'ⲛⲉ', 'ⲧⲉ', 'ⲡⲉ', 'ⲛⲟⲩ', 'ⲧⲟⲩ', 'ⲡⲟⲩ', 'ⲛⲁ', 'ⲧⲁ', 'ⲡⲁ']",[]
"ⲫⲁ-, ⲫⲱ⸗ ",['11'],[' (poss. pronoun)'],"['ⲡⲟⲫ', 'ⲡⲟⲕ', 'ⲃⲁ', 'ⲛⲟⲟⲩ', '~ⲁ', 'ⲛⲟⲩⲟⲩ', 'ⲛⲟⲩⲧⲉⲛ', 'ⲛⲟⲩⲥ', 'ⲛⲟⲩϥ', 'ⲛⲟⲩⲕ', 'ⲛⲟⲩⲓ', 'ⲑⲁ', 'ⲫⲁ', 'ⲛⲱⲟⲩ', 'ⲛⲱⲧⲉⲛ', 'ⲛⲟⲩⲛ', 'ⲫⲱ', 'ⲑⲱ', 'ⲑⲱϥ', 'ⲑⲱⲟⲩ', 'ⲑⲱⲧⲉⲛ', 'ⲑⲱⲥ', 'ⲑⲱⲛ', 'ⲑⲱⲩ', 'ⲑⲱⲓ', 'ⲫⲱⲧⲉⲛ', 'ⲫⲱϥ', 'ⲫⲱⲟⲩ', 'ⲫⲱⲥ', 'ⲫⲱⲛ', 'ⲫⲱⲕ', 'ⲫⲱⲓ', 'ⲑⲱⲕ', 'ⲛⲟⲩ', 'ⲛⲁ', 'ⲧⲁ', 'ⲡⲁ']",[]
ⲉⲧ- ,['13'],[' (rectus)'],"['ⲑⲛⲁ', '~ⲧⲛⲁ', '~ⲑⲛⲁ', 'ⲉⲧⲛⲁ', 'ⲉⲑⲛⲁ', '~ⲧⲑ', 'ⲉⲧⲑ', '~ⲑ', 'ⲉⲑ', 'ⲑ', 'ⲉϯ', '~ⲧ', 'ⲁⲧ', 'ⲉ', 'ⲉⲧ', 'ⲧ']",[]
"ⲉⲧⲉ-, ⲉⲧ- ",['12'],[' (rel. converter)'],"['ⲉⲧⲉⲣⲉ', '~ⲑ', 'ⲉⲑ', '~ⲧⲉ', '~ⲧ', 'ⲉⲧⲉ', 'ⲉⲧ']",[]
